iter	Passed	Remaining
867	18963	24730
868	18994	24721
869	19034	24723
870	19052	24696
871	19063	24660
872	19086	24639
873	19105	24614
874	19126	24590
875	19143	24562
876	19163	24538
877	19197	24532
878	19234	24530
879	19265	24519
880	19278	24485
881	19314	24482
882	19357	24486
883	19371	24454
884	19383	24420
885	19411	24406
886	19443	24397
887	19471	24382
888	19483	24349
889	19495	24314
890	19516	24291
891	19526	24255
892	19540	24222
893	19564	24203
894	19597	24195
895	19732	24313
896	19746	24281
897	19801	24299
898	19820	24273
899	19848	24258
900	19871	24237
901	19892	24215
902	19925	24206
903	19964	24204
904	19987	24183
905	20038	24196
906	20099	24221
907	20111	24186
908	20148	24182
909	20166	24155
910	20181	24124
911	20201	24100
912	20215	24067
913	20230	24037
914	20248	24010
915	20272	23990
916	20293	23966
917	20309	23937
918	20336	23920
919	20355	23895
920	20379	23875
921	20396	23847
922	20421	23829
923	20458	23824
924	20470	23789
925	20553	23838
926	20635	23885
927	20652	23857
928	20677	23837
929	20741	23863
930	20768	23846
931	20786	23819
932	20799	23787
933	20829	23772
934	20850	23750
935	20874	23728
936	20910	23721
937	20920	23686
938	20957	23679
939	20994	23674
940	21003	23637
941	21016	23604
942	21060	23606
943	21075	23576
944	21093	23548
945	21116	23526
946	21141	23507
947	21160	23482
948	21175	23451
949	21204	23436
950	21213	23399
951	21244	23386
952	21255	23352
953	21289	23342
954	21330	23341
955	21342	23306
956	21363	23283
957	21383	23258
958	21412	23243
959	21427	23213
960	21462	23204
961	21502	23200
962	21526	23180
963	21563	23174
964	21586	23152
965	21603	23123
966	21617	23092
967	21652	23083
968	21670	23057
969	21710	23053
970	21735	23034
971	21769	23023
972	21785	22994
973	21803	22967
974	21822	22941
975	21847	22922
976	21868	22898
977	21884	22869
978	21910	22850
979	21931	22827
980	21957	22808
981	21986	22792
982	22009	22771
983	22026	22742
984	22039	22711
985	22069	22695
986	22095	22677
987	22108	22646
988	22125	22618
989	22146	22593
